0 1 151, 785, 2909, 153, 3222, 3227, 416, 860, 788, 758, 1280, 2110, 2835, 695, 416, 439, 2525, 3222, 2526, 2833, 1281, 2909, 2111, 3180, 2835, 2643, 759, 2112, 751, 220, 151, 698, 860, 940, 2644, 1040, 160, 1715, 149, 1034, 2643, 435, 130, 3221, 2832, 437, 443, 755, 442, 160, 440, 3152, 422, 786, 2908, 3606, 758, 3145, 2794, 2831, 3221, 3180, 3487, 427, 153, 3229, 746, 3148, 2642, 757, 785, 2109, 2830, 146, 4095, 2531, 1036, 698, 2643, 1715, 3226, 427, 160, 3152, 1038, 441, 1037, 1715, 2474, 3607, 148, 3221, 3228, 786, 421, 2834, 2112, 422, 940, 156, 749, 658, 3987, 702, 3500, 442, 3606, 1040, 2835, 425, 2433, 699, 3226, 162, 429, 706, 788, 3608, 785, 2110, 148, 426, 3145, 2991, 2642, 754, 3222, 2833, 3180, 788, 161, 702, 2525, 761, 706, 2830, 753, 859, 1036, 3221, 757, 707, 695, 153, 3227, 696, 791, 160, 2833, 2832, 414, 2910, 754, 940, 784, 2643, 746, 2990, 3144, 162, 3147, 2836, 695, 3608, 746, 3143, 2433, 696, 791, 760, 2531, 785, 702, 3606, 2836, 1281, 151, 748, 789, 2474, 1710, 860, 2112, 2527
0 10 150, 3228, 3606, 422, 859, 443, 1712, 785, 430, 151, 3147, 220, 2110, 1715, 3226, 2794, 3149, 1280, 1279, 3094, 3486, 159, 147, 2794, 757, 2643, 421, 160, 2527, 504, 706, 761, 419, 2111, 418, 3149, 2112, 746, 705, 2991, 2531, 1714, 2836, 755, 1036, 786, 2829, 859, 3226, 3606, 2834, 2643, 2525, 439, 4095, 151, 3222, 2831, 1038, 859, 151, 156, 787, 436, 504, 2294, 1036, 3222, 2910, 2909, 3227, 3143, 2909, 784, 2835, 3250, 443, 3229, 3150, 373, 1038, 1281, 1040, 3609, 784, 3229, 434, 441, 410, 2836, 436, 706, 859, 2112, 2831, 1035, 2531, 3144, 2834, 2794, 696, 1280, 3221, 2830, 3226, 414, 791, 3221, 155, 2111, 749, 784, 148, 2908, 2294, 659, 698, 2643, 426, 761, 3180, 1279, 2526, 220, 2641, 3224, 3145, 1040, 2642, 1710, 699, 3487, 2835, 3500, 785, 2527, 2294, 3149, 437, 2527, 419, 2794, 421, 2641, 2641, 1281, 420, 2794, 1037, 633, 791, 2530, 746, 430, 2294, 3150, 3500, 422, 3608, 3250, 3148, 3222, 331, 373, 3486, 788, 2111, 2433, 659, 431, 2644, 3094, 3149, 3225, 149, 790, 3224, 2525, 2644, 2526, 2641, 2531, 783, 698
0 11 1037, 754, 431, 791, 440, 2836, 2833, 706, 331, 2911, 3224, 2908, 1040, 416, 790, 860, 705, 3486, 3487, 434, 3147, 3180, 3228, 2831, 2992, 860, 2432, 155, 159, 147, 3987, 2109, 633, 160, 783, 443, 702, 2832, 2642, 2474, 443, 3486, 436, 148, 1280, 2992, 696, 659, 2109, 2641, 418, 3987, 3607, 430, 151, 2528, 420, 790, 2910, 1713, 783, 750, 2993, 2835, 860, 441, 148, 659, 149, 432, 220, 3487, 437, 749, 417, 426, 2432, 786, 3229, 1403, 422, 421, 758, 695, 747, 3145, 1714, 2643, 706, 3488, 693, 1715, 2908, 2910, 3229, 2473, 1710, 2910, 430, 434, 940, 791, 1034, 161, 1039, 3147, 753, 2909, 787, 3229, 2992, 784, 698, 3094, 3228, 2993, 220, 790, 2433, 699, 756, 420, 3144, 659, 2835, 2529, 751, 786, 788, 155, 438, 757, 2642, 150, 373, 2832, 425, 2910, 3221, 2642, 3486, 2993, 2432, 417, 753, 788, 2528, 2526, 431, 705, 695, 2831, 2991, 2474, 1712, 437, 658, 439, 2834, 747, 2641, 150, 148, 331, 3221, 706, 753, 1036, 3225, 749, 746, 420, 2294, 443, 1710, 3486, 156, 790, 859, 442, 658, 504, 785, 1040
0 12 2528, 2530, 2111, 2432, 421, 438, 417, 2112, 699, 424, 2112, 3143, 1037, 756, 705, 3152, 2641, 160, 441, 3221, 414, 2794, 2909, 693, 760, 754, 1038, 425, 2832, 153, 693, 440, 422, 2641, 786, 940, 761, 373, 1280, 442, 748, 754, 3152, 698, 1403, 431, 373, 3221, 789, 659, 220, 151, 3486, 3225, 160, 2831, 161, 2642, 431, 3487, 757, 755, 2993, 699, 3225, 2836, 1040, 431, 161, 2525, 419, 2531, 149, 3606, 2528, 147, 424, 3488, 156, 1281, 2529, 750, 791, 440, 4095, 3225, 699, 146, 2910, 162, 748, 2829, 414, 3229, 2112, 3500, 2526, 441, 2527, 420, 415, 3227, 437, 434, 2910, 755, 161, 443, 2294, 2433, 3143, 693, 220, 784, 417, 3609, 3608, 151, 416, 3227, 749, 699, 504, 2991, 1280, 2909, 426, 3180, 2911, 155, 2829, 3607, 410, 421, 3250, 426, 146, 150, 751, 331, 2991, 2528, 439, 2525, 160, 3226, 2474, 2991, 859, 2110, 3224, 2836, 373, 693, 696, 2830, 1034, 759, 705, 2111, 441, 3608, 3094, 436, 4095, 748, 3180, 694, 789, 153, 3606, 754, 699, 757, 2294, 162, 750, 3229, 707, 3607, 2527, 757, 3148, 2529
0 13 3608, 940, 2910, 789, 1712, 1710, 753, 130, 1715, 220, 790, 422, 2911, 442, 702, 429, 2644, 2642, 1035, 426, 2830, 159, 753, 156, 160, 750, 2111, 758, 751, 2642, 2831, 1035, 699, 2832, 220, 3500, 3144, 1279, 3143, 2294, 3180, 417, 747, 4095, 415, 3225, 130, 420, 436, 3147, 3250, 438, 2473, 791, 3152, 3609, 3987, 2909, 754, 2908, 417, 2832, 2432, 429, 441, 153, 3221, 786, 3987, 3180, 2834, 860, 760, 706, 1281, 431, 1712, 435, 707, 748, 2829, 1280, 659, 1038, 1712, 699, 4095, 2990, 756, 220, 3224, 1039, 3143, 1280, 694, 1714, 146, 3228, 153, 2433, 3227, 430, 757, 1712, 860, 155, 753, 431, 3180, 787, 427, 749, 2111, 146, 1281, 437, 859, 2294, 442, 438, 2831, 2474, 418, 3180, 791, 2531, 1279, 146, 658, 2642, 3149, 425, 220, 2109, 789, 437, 748, 424, 695, 1280, 753, 3500, 2836, 757, 785, 754, 429, 2992, 2832, 695, 2528, 150, 3143, 789, 1281, 783, 696, 3229, 2908, 759, 424, 705, 3608, 437, 658, 761, 756, 1713, 2910, 696, 160, 419, 162, 1034, 695, 440, 1279, 699, 3606, 3094, 3987, 3226, 2990, 859
0 14 414, 783, 2294, 4095, 149, 2641, 659, 3225, 3250, 331, 3149, 421, 418, 693, 416, 659, 1714, 789, 787, 160, 2643, 2111, 757, 1712, 432, 2909, 149, 2641, 2526, 1403, 791, 3227, 3226, 2527, 659, 425, 150, 3486, 706, 2432, 2109, 761, 3609, 435, 3226, 3222, 422, 3605, 1710, 3148, 658, 758, 1714, 2833, 2111, 426, 434, 432, 749, 2110, 658, 3228, 3221, 3609, 153, 3147, 3143, 3150, 705, 3152, 698, 1037, 3148, 2829, 434, 2831, 432, 424, 146, 693, 702, 2109, 788, 419, 3225, 940, 2830, 3229, 748, 439, 2835, 3147, 2111, 150, 3152, 1034, 150, 761, 424, 130, 860, 1713, 436, 437, 699, 2834, 160, 130, 3486, 2642, 756, 1503, 707, 699, 759, 162, 1039, 3487, 410, 420, 784, 3607, 427, 2531, 331, 417, 2526, 757, 373, 747, 2835, 155, 2832, 696, 3152, 750, 2432, 1712, 756, 1713, 2908, 753, 694, 2834, 430, 2992, 414, 940, 3226, 3144, 3987, 3608, 4095, 439, 2109, 331, 2909, 429, 416, 3145, 757, 2110, 220, 3226, 373, 331, 430, 3221, 2294, 2525, 3145, 432, 2473, 443, 2112, 422, 859, 2833, 1038, 759, 160, 426, 3222, 147
0 15 1710, 2110, 789, 415, 151, 422, 148, 426, 2529, 424, 2473, 3221, 699, 2909, 791, 786, 2834, 3223, 706, 694, 633, 3221, 2526, 420, 410, 414, 3223, 149, 754, 420, 220, 438, 753, 2833, 3250, 3221, 3148, 156, 441, 1712, 438, 694, 784, 705, 2910, 130, 2527, 410, 694, 702, 705, 2835, 1037, 2830, 3094, 759, 3487, 439, 424, 754, 3486, 748, 784, 755, 3608, 755, 1039, 3225, 331, 2473, 160, 435, 695, 699, 4095, 435, 2909, 3145, 504, 436, 1279, 416, 2834, 1035, 1281, 1034, 148, 421, 2644, 504, 2529, 146, 1034, 1403, 2531, 2110, 633, 3150, 2643, 3487, 220, 693, 156, 748, 761, 1715, 1279, 756, 2109, 430, 2110, 1710, 2909, 788, 3145, 2910, 2990, 1714, 434, 432, 441, 2433, 3225, 2530, 3221, 2910, 3227, 3229, 699, 414, 2110, 2909, 1715, 2830, 3227, 784, 148, 2829, 2432, 3987, 2644, 3608, 156, 2830, 2644, 791, 1035, 1710, 431, 3487, 755, 419, 758, 155, 746, 785, 788, 2111, 2529, 1036, 696, 3094, 3250, 414, 3227, 706, 2526, 148, 2110, 754, 2527, 2641, 2794, 424, 790, 146, 699, 1280, 788, 3180, 435, 753, 3144, 147
0 16 3144, 755, 436, 2834, 698, 4095, 3609, 155, 1713, 1712, 419, 759, 3488, 3094, 755, 373, 419, 3500, 421, 758, 3229, 424, 2529, 789, 430, 2528, 695, 440, 3223, 702, 2990, 147, 161, 420, 3226, 706, 2993, 750, 1037, 2109, 1036, 940, 437, 2110, 658, 789, 2527, 2910, 2836, 2641, 416, 414, 430, 2991, 1279, 3148, 504, 2525, 695, 860, 753, 699, 3221, 162, 426, 418, 424, 3152, 2109, 1712, 3227, 751, 3150, 425, 3143, 2993, 162, 3144, 2530, 2834, 786, 2834, 504, 418, 147, 2433, 3227, 2993, 788, 1037, 3149, 1710, 860, 147, 1040, 2829, 3152, 3094, 149, 753, 3144, 3225, 940, 417, 3500, 2529, 3228, 860, 2525, 1039, 788, 940, 3221, 2529, 3228, 3225, 1037, 160, 2911, 159, 2294, 155, 1713, 3250, 1034, 860, 1036, 3605, 155, 220, 633, 442, 783, 1037, 3227, 410, 2835, 757, 438, 1036, 760, 2527, 2908, 220, 633, 415, 758, 786, 785, 425, 2112, 695, 3144, 410, 425, 438, 1715, 3223, 3147, 2525, 2908, 416, 414, 696, 1403, 3180, 2641, 150, 698, 3225, 2834, 3227, 162, 789, 2644, 3486, 425, 1710, 748, 787, 331, 148, 3143, 694
0 17 3150, 2794, 1040, 788, 331, 694, 2531, 415, 153, 2993, 3487, 2530, 860, 3145, 159, 3148, 427, 3250, 761, 695, 746, 1040, 783, 3148, 3145, 2294, 3222, 148, 2909, 160, 424, 3221, 3224, 3229, 422, 410, 415, 2528, 161, 785, 2473, 1037, 1503, 414, 2433, 1280, 3221, 789, 758, 2834, 3150, 2432, 373, 162, 698, 706, 2529, 1040, 3180, 2526, 2473, 3227, 789, 746, 758, 2908, 159, 2644, 3229, 421, 161, 3606, 439, 760, 2527, 410, 787, 1712, 2831, 443, 1038, 415, 421, 160, 148, 749, 2910, 3987, 1279, 783, 2528, 2644, 750, 442, 2908, 2992, 1034, 162, 2991, 419, 130, 658, 2830, 1715, 440, 419, 3226, 3147, 1714, 3221, 1039, 2910, 441, 156, 2110, 442, 425, 759, 3180, 2990, 3227, 2991, 788, 755, 2473, 790, 440, 2990, 435, 2911, 860, 1040, 2644, 1280, 434, 436, 2112, 427, 438, 3152, 2433, 791, 504, 1039, 706, 3223, 747, 783, 2991, 3608, 2642, 331, 2473, 151, 940, 694, 702, 435, 748, 754, 2294, 789, 751, 432, 3144, 790, 442, 504, 2111, 2473, 698, 161, 3145, 427, 3223, 331, 2829, 434, 437, 150, 750, 151, 431, 440
0 18 1715, 2990, 633, 438, 2642, 443, 156, 1040, 2831, 1715, 2836, 746, 415, 702, 331, 3143, 2644, 2835, 696, 149, 162, 440, 3143, 790, 2531, 3148, 2644, 442, 2525, 753, 426, 3145, 3152, 706, 2990, 427, 860, 786, 3229, 3488, 790, 3150, 751, 2908, 2641, 2112, 1280, 3224, 2473, 749, 2643, 3145, 658, 442, 3226, 415, 438, 3607, 1710, 3223, 2473, 707, 787, 633, 659, 790, 150, 410, 1281, 2474, 3223, 426, 417, 425, 693, 1279, 3223, 2992, 147, 1037, 155, 436, 860, 3223, 156, 417, 2835, 758, 2993, 3605, 2110, 443, 2644, 2990, 418, 658, 1037, 2794, 3180, 418, 1714, 753, 3145, 3609, 414, 1039, 2908, 2642, 3144, 1279, 422, 788, 2835, 437, 699, 2643, 3225, 2526, 434, 150, 2474, 2528, 699, 1280, 440, 659, 1035, 3229, 2294, 3608, 1036, 3094, 758, 150, 788, 438, 759, 147, 2794, 504, 439, 2432, 3149, 859, 3223, 2990, 2641, 860, 1035, 442, 695, 3148, 3227, 421, 3144, 434, 415, 159, 1281, 1714, 436, 3143, 1034, 430, 421, 441, 161, 1503, 2832, 707, 427, 151, 699, 1403, 440, 3987, 790, 2992, 750, 1039, 440, 220, 2991, 1712
